date,fees_block_mean,fees_block_mean_usd,fees_total,fees_total_usd,fees_reward_percent,addresses_count_active,addresses_count_sender,addresses_count_receiver,open,high,low,close,volume,transactions_count_total,transactions_count_mean
2023-10-09,0.0483958581366824,76.55285918953777,1222.0040196255245,1932973.3007159063,1.0,278474,194519,174803,1632.06122288,1636.96166554,1547.09123774,1581.80600855,667488.6587025893,993579,139.11775413
2023-10-08,0.0354327186505188,57.88612954468656,926.4424692117256,1513521.1417852626,1.0,260961,188111,159465,1633.19418709,1641.67345091,1614.54648612,1633.69145099,226924.68651871476,924403,129.30521751
2023-10-07,0.03988988075105,65.20327225850409,941.3532909014734,1538718.9372951898,1.0,306351,229646,180619,1644.22787612,1649.28724787,1629.18004691,1634.58177941,158296.57116923976,996807,139.31614256
2023-10-06,0.044842687558777,73.80301365888823,1178.63559221955,1939822.5986659308,1.0,287307,209212,170717,1611.90293359,1662.68514183,1611.51800592,1645.82048215,374407.5687201776,993544,138.9572028
2023-10-05,0.0472069147892252,76.08529616165768,1280.2943779461996,2063502.2931508245,1.0,272054,193922,169767,1646.67984389,1655.53474599,1607.07250769,1611.74049398,416363.1040611424,955796,133.65906866
2023-10-04,0.0515800662966857,84.9177176943663,1380.27128249268,2272379.535810825,1.0,285455,213092,168324,1656.92344448,1657.90684448,1617.89182687,1646.32819985,390929.39656485233,983598,137.45081051
2023-10-03,0.0585140872372039,96.98916799199591,1638.520582667299,2715905.785327184,1.0,276421,203711,167912,1662.18998306,1671.852852,1643.11224473,1657.53534869,334311.0915404084,1002455,140.3212486
2023-10-02,0.090386672500379,150.27575750133306,2370.0577197303114,3940428.4868752174,1.0,269986,193042,170028,1732.94014193,1745.33308394,1636.49888076,1662.58756235,731493.9084546653,1016845,141.83916864
2023-10-01,0.0453452284818117,78.6414946790176,1164.053518223392,2018799.146555742,1.0,263780,201316,152647,1671.046788,1767.94587323,1667.50556608,1734.28378932,420571.5503099336,922694,128.88587792
2023-09-30,0.0460540220613467,76.93112799999177,1208.1695101066698,2018191.6598705328,1.0,281960,218753,168895,1667.49906037,1694.91739591,1664.97495948,1670.45405714,240447.63182151027,977771,136.56019553
